iter	Passed	Remaining
0	1	1054
1	1	939
2	2	885
3	3	870
4	4	861
5	5	844
6	5	825
7	6	819
8	7	822
9	8	825
10	9	815
11	9	805
12	10	802
13	11	799
14	12	795
15	12	794
16	13	792
17	14	789
18	15	786
19	15	783
20	16	782
21	17	779
22	18	776
23	19	773
24	19	771
25	20	768
26	21	767
27	22	769
28	23	771
29	24	779
30	24	779
31	25	777
32	26	777
33	27	793
34	28	791
35	29	792
36	30	789
37	31	786
38	31	783
39	32	780
40	33	777
41	34	775
42	34	772
43	35	771
44	36	768
45	36	766
46	37	765
47	38	763
48	39	761
49	39	758
50	40	757
51	41	755
52	42	757
53	43	757
54	44	756
55	44	754
56	45	751
57	46	749
58	46	747
59	47	745
60	48	743
61	49	741
62	49	739
63	50	736
64	51	735
65	51	734
66	52	734
67	53	733
68	54	731
69	54	729
70	55	729
71	56	727
72	57	726
73	57	724
74	58	723
75	59	721
76	60	719
77	60	718
78	61	716
79	62	714
80	62	712
81	63	711
82	63	706
83	64	705
84	65	704
85	66	703
86	67	704
87	67	702
88	68	701
89	69	701
90	70	700
91	70	699
92	71	698
93	72	697
94	73	697
95	73	696
96	74	695
97	75	694
98	76	693
99	76	692
100	77	692
101	78	691
102	79	690
103	79	688
104	80	687
105	81	686
106	82	685
107	82	685
108	83	684
109	84	683
110	85	682
111	85	681
112	86	680
113	87	678
114	88	677
115	88	675
116	89	673
117	89	672
118	90	671
119	91	669
120	92	668
121	92	666
122	93	665
123	94	664
124	94	663
125	95	662
126	96	661
127	97	661
128	97	661
129	98	660
130	99	659
131	100	659
132	100	658
133	101	657
134	102	655
135	103	654
136	103	653
137	104	653
138	105	652
139	106	652
140	106	651
141	107	648
142	108	647
143	108	646
144	109	645
145	110	645
146	111	645
147	111	644
148	112	643
149	113	642
150	114	641
151	114	640
152	115	639
153	116	637
154	116	636
155	117	635
156	118	634
157	118	633
158	119	632
159	120	631
160	120	629
161	121	629
162	122	628
163	123	627
164	123	626
165	124	626
166	125	625
167	126	624
168	126	623
169	127	622
170	128	621
171	128	620
172	129	619
173	130	618
174	130	617
175	131	616
176	132	615
177	133	614
178	133	613
179	134	611
180	134	610
181	135	609
182	136	608
183	136	607
184	137	606
185	138	605
186	139	604
187	139	603
188	140	602
189	141	601
190	141	601
191	142	600
192	143	599
193	143	597
194	144	596
195	145	595
196	145	594
197	146	593
198	147	592
199	147	591
200	148	590
201	149	589
202	149	588
203	150	587
204	151	586
205	151	584
206	152	584
207	153	583
208	153	582
209	154	581
210	155	581
211	156	580
212	156	579
213	157	578
214	158	577
215	158	576
216	159	575
217	160	574
218	160	573
219	161	572
220	162	571
221	162	570
222	163	569
223	164	568
224	164	567
225	165	566
226	166	566
227	166	565
228	167	564
229	168	563
230	168	562
231	169	562
232	170	561
233	171	560
234	171	559
235	172	558
236	173	557
237	173	556
238	174	555
239	175	554
240	175	554
241	176	553
242	177	552
243	177	551
244	178	550
245	179	549
246	179	548
247	180	548
248	181	547
249	182	546
250	183	546
251	183	545
252	184	545
253	185	544
254	186	544
255	187	543
256	187	543
257	188	542
258	189	542
259	190	541
260	191	540
261	191	540
262	192	539
263	193	539
264	194	538
265	195	538
266	195	537
267	196	537
268	197	536
269	198	536
270	199	536
271	200	536
272	201	535
273	201	535
274	202	534
275	203	533
276	204	533
277	205	532
278	205	532
279	206	530
280	207	530
281	207	529
282	208	528
283	209	527
284	210	527
285	210	526
286	211	525
287	212	524
288	213	524
289	213	523
290	214	522
291	215	522
292	216	521
293	216	520
294	217	520
295	218	519
296	219	518
297	219	518
298	220	517
299	221	516
300	222	516
301	223	515
302	223	514
303	224	514
304	225	513
305	226	512
306	226	512
307	227	511
308	228	510
309	229	510
310	229	509
311	230	508
312	231	507
313	232	507
314	232	506
315	233	505
316	234	504
317	235	504
318	235	503
319	236	502
320	237	501
321	237	501
322	238	500
323	239	499
324	240	498
325	240	497
326	241	497
327	242	496
328	242	495
329	243	494
330	244	494
331	245	493
332	245	492
333	246	491
334	247	490
335	248	490
336	248	489
337	249	488
338	250	487
339	250	487
340	251	486
341	252	485
342	253	485
343	253	484
344	254	483
345	255	482
346	256	482
347	256	481
348	257	480
349	258	480
350	259	479
351	259	478
352	260	477
353	261	476
354	262	476
355	262	475
356	263	474
357	264	474
358	265	473
359	265	472
360	266	472
361	267	471
362	268	470
363	269	470
364	269	469
365	270	468
366	271	467
367	272	467
368	273	466
369	273	466
370	274	465
371	275	464
372	275	463
373	276	463
374	277	462
375	277	461
376	278	460
377	279	459
378	279	458
379	280	457
380	281	456
381	281	456
382	282	455
383	283	454
384	284	454
385	284	453
386	285	452
387	286	451
388	287	450
389	287	450
390	288	449
391	289	448
392	290	448
393	290	447
394	291	446
395	292	445
396	293	445
397	293	444
398	294	443
399	295	442
400	295	442
401	296	441
402	297	440
403	298	439
404	298	439
405	299	438
406	300	437
407	301	436
408	301	435
409	302	435
410	303	434
411	303	433
412	304	433
413	305	432
414	306	431
415	307	431
416	307	430
417	308	429
418	309	429
419	310	428
420	310	427
421	311	427
422	312	426
423	313	425
424	314	424
425	314	424
426	315	423
